"Someone had fun.","SEAN","male"
"It's no problem, honestly. Go on, go and open the launderette.  Leave it with me.","SHIRLEY","female"
"Last night was better than ever. What's all this?  Anything interesting?","MAX","male"
"Have you checked the answerphone?  Any calls?","IAN","male"
"Oscar's asleep.","MAX","male"
"Dead Arm? What's Dead Arm?","MINTY","male"
"Rox...","RONNIE","female"
"Oh no, I wouldn't do that. Here's the menu. Should be perfectly within your capabilities.","IAN","male"
"I think I've got someone in line already.","RONNIE","female"
"Like drinking yourself to death?","SEAN","male"
"You trying to kiss me doesn't change anything.Now if you don't mind, I've gotta go and get ready.  So are you going to get out of my face or what?","STACEY","female"
"Well as long as the Queen likes it. That's the important thing.  I tell you what, your sister'll read you a story, won't you Lucy?  I'm going to the chippy to cash up.","IAN","male"
"You know I've been thinking.    You might be better off working in the Chippy.","JANE","female"
"I ain't the one who's been telling porkies. Who d'ya get to write that statement for ya?  Mickey Mouse?","PHIL","male"
"","SEAN","male"
"He's had such a horrible time. I wouldn't...Stop it.","CLARE","female"
"It's not about the money, Max.  It never was. All I've ever wanted is you. That's all.","TANYA","female"
"You must have to go to some unusual houses in your job.","IAN","male"
"Yeah. If she'd had been on the boat to begin with.","SHIRLEY","female"
"I was worried about you.","HEATHER","female"
"Alright. Is that why you haven't signed those forms yet?  To transfer the shares?  I called your solicitor, Max, to ask him where they were.  And surprise, surprise, he said he'd already posted them.","TANYA","female"
"But I'm here now I thought near death experiences changed people for the better.","HEATHER","female"
"So you take off again, eh? What a surprise. You're gonna end up like some sad, lonely old cow in some hostel that noone gives a toss about. Why are you doing this, eh?","GARRY","male"
"No no, that's the development, they've offered me a job.","BRADLEY","male"
"How the hell should I know?","SHIRLEY","female"
"And you?","SEAN","male"
"Remember we're seeing the accountant later.","JANE","female"
"I would. You turn up with food for twenty and a room full of two hundred, you'll have a riot on your hands.","CHRISTIAN","male"
"Yeah course.","GARRY","male"
"You'll have hours to think about what you did to me.","TANYA","female"
"And nearly a whole year till next Christmas.","RONNIE","female"
"Yeah. Yeah. Not bad.","IAN","male"
"They've gone ...","SEAN","male"
"No,no, it was definitely something I said that upset her.","JANE","female"
"What's all this about going to Fargos? Eight o'clock? I hope it's not a date?","IAN","male"
"Sorry.","HEATHER","female"
"You sure you're okay?","SEAN","male"
"I er, left it too late to get my service-wash back. It was either this or one of Dot's anoraks.","CLARE","female"
"She says that one time I will not be responsible for my actions.","GARRY","male"
"Don't worry about me. Plenty of juice left in the old tank.","RONNIE","female"
"... I canask my Mum you know...","STACEY","female"
"I've settled in really well mummy, the Square feels like home now.And that's where I work. Very responsible job washing people's smalls. And Mrs Branning's ever so friendly, everyone is. Walford's lovely.","HEATHER","female"
"What?","TANYA","female"
"Jane's been slaving away all afternoon.","STEVEN","male"
"You gonna be alright? I should get back to work.","MAX","male"
"Ah this is so sweet.","ROXY","female"
"Yeah, I suppose. Unless... we both go?ﬁHESITANTﬂ]","MAX","male"
"It's not important love.","IAN","male"
"Baby you won't alright. I told you, I'm one hundred per cent committed.  The only question is, are you?","MAX","male"
"I ain't chucking anything away.","STACEY","female"
"Oh oh oh.  I'll leave you to it.","IAN","male"
